Number,Time
5,10240349
3,60314
7,101911
10,108095
6,71389
7,81898
7,79050
9,100962
10,104347
9,99585
13,157611
14,156961
6,76811
12,132335
14,155830
11,117708
8,88677
10,104621
8,93697
14,155858
11,121436
6,68646
2,37197
12,133571
3,43053
7,81441
9,99710
7,84994
10,106006
13,157163
11,117789
10,109164
14,172972
11,121042
15,240305
12,5997606
4,50397
5,54015
4,1114194
10,3649923
10,658563
12,83748
15,133007
4,34506
1,14402
9,66620
12,133536
10,72415
12,86326
7,51605
8,55760
10,73600
13,93506
14,92204
15,103178
12,115190
4,42130
8,58651
2,23222
12,82212
1,15180
9,65366
10,67550
11,83396
10,69835
11,74915
10,70629
15,102777
12,86302
6,44078
9,63833
8,55208
2,19990
10,71626
4,34907
3,26120
14,90663
13,84698
5,37872
13,86903
1,14272
2,21008
8,63706
13,87696
9,65386
14,130169
11,75681
10,69777
9,62947
1,14026
2,22353
2,22775
12,83539
11,75785
8,70969
5,40848
12,79025
8,62436
6,43316
11,79253
